FID_,OBJECTID,OA11CD,POINT_X,POINT_Y,All_categ,km0_2,km2_5,km5_10,km10_20,km20_30,km30_40,km40_60,km60_over,home_work,other,Total_km,Average_km
,1980,E00075481,367143.103000000000000,172236.385000000010000,181,33,26,53,31,5,1,4,2,8,18,1957.000000000000000,12.600000000000000
,1981,E00075833,370870.911000000020000,181989.513000000010000,94,29,4,12,18,1,3,1,1,13,12,708.700000000000050,10.300000000000001
,1982,E00075401,364625.878000000030000,174322.541000000000000,282,43,62,94,27,5,3,8,3,13,24,2766.000000000000000,11.300000000000001
,1983,E00075480,367272.257999999970000,172318.815999999990000,153,19,25,43,27,5,3,2,2,11,16,1432.200000000000000,11.400000000000000
,1984,E00075830,371685.892999999980000,182137.344000000010000,116,30,8,9,36,2,3,0,5,11,12,1826.400000000000100,19.600000000000001
,1985,E00075831,371154.048000000010000,182175.996000000010000,161,48,5,19,57,2,2,3,3,9,13,1830.099999999999900,13.199999999999999
,1986,E00075408,366174.961000000010000,174010.706999999990000,180,38,32,48,22,3,2,2,4,10,19,1663.599999999999900,11.000000000000000
,1987,E00075489,365906.308000000020000,172267.393000000010000,225,19,38,83,29,1,3,3,4,22,23,1929.200000000000000,10.699999999999999
,1988,E00075409,365400.340000000030000,173860.059000000010000,114,23,16,40,12,2,0,1,2,6,12,820.799999999999950,8.600000000000000
,1989,E00075488,366104.592999999990000,172333.089000000010000,184,29,27,63,27,6,1,1,5,14,11,1937.099999999999900,12.199999999999999
,1990,E00075838,370450.228000000000000,181667.302000000000000,179,49,14,31,42,9,2,4,2,10,16,1676.599999999999900,11.000000000000000
,1991,E00075839,371270.191999999980000,181604.943999999990000,141,38,12,17,47,3,1,0,2,3,18,1137.300000000000000,9.500000000000000
,1992,E00075146,363278.136999999990000,180795.068000000000000,179,30,46,50,18,2,2,1,8,15,7,2654.099999999999900,16.899999999999999
,1993,E00075147,362243.836000000010000,180705.084000000000000,256,37,70,71,14,4,6,6,10,24,14,3190.599999999999900,14.600000000000000
,1994,E00075144,370214.347000000010000,173445.505000000000000,228,7,22,72,42,4,3,5,3,48,22,2011.800000000000000,12.699999999999999
,1995,E00075145,363352.091000000010000,180885.182999999990000,172,12,46,48,17,5,3,4,16,8,13,3671.800000000000200,24.300000000000001
,1996,E00075142,370025.090000000030000,173067.242000000000000,136,17,16,39,28,4,1,2,3,14,12,1414.400000000000100,12.900000000000000
,1997,E00075143,370168.596000000020000,172968.921999999990000,163,17,12,47,27,1,6,4,6,18,25,1976.000000000000000,16.500000000000000
,1998,E00075140,370123.484000000000000,173278.532000000010000,111,11,10,32,28,2,0,2,4,12,10,1597.000000000000000,17.899999999999999
,1999,E00075141,370821.630000000000000,172652.401000000010000,184,9,7,50,47,4,1,6,5,34,21,2337.699999999999800,18.100000000000001
,2000,E00075148,362075.615999999980000,180574.462000000000000,127,13,31,35,14,2,2,0,9,14,7,1936.599999999999900,18.300000000000001
,2001,E00075149,362892.387999999980000,181069.619000000010000,267,21,72,85,18,5,5,7,14,23,17,4263.800000000000200,18.800000000000001
,2002,E00075136,370084.647000000000000,176190.465000000000000,179,15,17,50,59,2,1,8,6,14,7,2640.199999999999800,16.699999999999999
,2003,E00075137,370123.266000000000000,176026.617000000000000,192,16,14,56,54,7,1,3,5,16,20,3105.099999999999900,19.899999999999999
,2004,E00075134,370139.454000000030000,176374.965999999990000,166,19,14,33,54,2,1,6,7,10,20,2471.000000000000000,18.199999999999999
,2005,E00075135,369769.188000000020000,176141.060000000000000,174,9,15,46,60,4,1,5,5,11,18,2328.500000000000000,16.100000000000001
,2006,E00075132,369845.360999999980000,176625.600000000010000,186,14,14,42,50,7,0,6,5,30,18,1993.500000000000000,14.400000000000000
,2007,E00075133,369750.129000000020000,176306.951999999990000,68,7,9,24,6,3,0,5,2,6,6,978.100000000000020,17.500000000000000
,2008,E00075130,369128.155000000030000,177366.198999999990000,162,8,13,50,33,6,1,3,9,24,15,2420.000000000000000,19.699999999999999
,2009,E00075131,367596.489999999990000,176016.676000000010000,144,7,28,30,27,8,2,4,2,23,13,1490.800000000000000,13.800000000000001
,2010,E00075138,370213.825000000010000,175907.361999999990000,206,14,20,56,64,2,1,1,7,20,21,2506.400000000000100,15.199999999999999
,2011,E00075139,369783.775000000020000,173035.443000000000000,186,11,14,55,54,4,2,2,6,25,13,2225.199999999999800,15.000000000000000
,2012,E00075646,365494.690999999990000,177912.176000000010000,173,24,37,56,15,1,0,2,5,18,15,1738.200000000000000,12.400000000000000
,2013,E00075644,365793.037000000010000,178343.872999999990000,215,22,34,89,17,8,0,6,10,18,11,2683.699999999999800,14.400000000000000
,2014,E00075645,365769.341000000010000,178132.141000000000000,187,25,32,63,20,3,2,1,11,18,12,3124.199999999999800,19.899999999999999
,2015,E00075642,367045.360999999980000,172796.668000000010000,116,24,18,41,14,3,0,0,1,10,5,744.600000000000020,7.400000000000000
,2016,E00075640,366836.639000000020000,173567.136999999990000,135,18,16,45,25,2,1,1,3,17,7,1237.900000000000100,11.199999999999999
,2073,E00075569,366070.913000000000000,176108.790000000010000,156,24,36,57,9,1,0,1,2,11,15,1052.599999999999900,8.100000000000000
,2074,E00075556,354459.005000000000000,184821.165000000010000,172,5,10,56,45,6,4,1,3,22,20,1884.099999999999900,14.500000000000000
,2075,E00075557,354379.428000000010000,184468.505000000000000,139,15,8,45,41,3,1,1,3,7,15,1507.400000000000100,12.900000000000000
,2076,E00075554,354097.071999999990000,184951.850000000010000,192,16,9,68,58,7,3,4,3,8,16,2252.199999999999800,13.400000000000000
,2077,E00075555,354087.303000000010000,184616.435000000000000,186,15,11,74,46,1,1,1,12,9,16,3159.400000000000100,19.600000000000001
,2078,E00075552,355357.172000000020000,185248.736000000000000,154,6,7,61,35,6,4,6,2,13,14,1961.099999999999900,15.400000000000000
,2079,E00075553,354045.934000000010000,185303.878999999990000,143,11,15,47,48,3,4,0,3,9,3,1606.900000000000100,12.300000000000001
,2080,E00075550,356165.795999999970000,184963.837000000000000,217,8,16,68,39,4,2,6,3,43,28,1900.300000000000000,13.000000000000000
,2081,E00075551,355061.283000000000000,185611.147999999990000,191,10,7,59,48,4,2,0,10,36,15,2830.599999999999900,20.199999999999999
,2082,E00075559,365954.196999999990000,176737.333000000010000,144,23,36,48,12,3,1,2,1,9,9,962.600000000000020,7.600000000000000
,2083,E00075506,366625.767999999980000,172674.842000000000000,197,26,32,68,30,2,0,2,9,9,19,2823.300000000000200,16.699999999999999
,2084,E00075587,365740.316999999980000,174640.027999999990000,138,20,34,51,8,0,0,1,4,7,13,1115.099999999999900,9.400000000000000
,2085,E00075507,366537.457999999980000,172782.894999999990000,162,18,19,58,29,6,4,2,4,10,12,2076.900000000000100,14.800000000000001
,2086,E00075586,365608.141999999990000,174589.739999999990000,109,14,29,33,4,3,1,0,3,6,16,1107.900000000000100,12.699999999999999
,2087,E00075504,366096.292000000020000,171572.603999999990000,120,29,18,39,20,1,0,0,1,4,8,718.700000000000050,6.700000000000000
,2088,E00075585,365866.196000000000000,174757.187000000010000,182,32,20,70,14,4,3,2,3,22,12,1631.700000000000000,11.000000000000000
,2089,E00075505,366635.739000000000000,172905.571000000000000,181,17,25,65,43,4,0,1,5,11,10,2118.800000000000200,13.199999999999999
,2090,E00075584,365437.505999999990000,174596.046000000000000,132,22,28,46,11,1,2,5,1,6,10,1008.700000000000000,8.699999999999999
,2091,E00075502,366380.386000000000000,171648.117999999990000,109,28,11,30,15,7,0,1,5,4,8,1427.099999999999900,14.699999999999999
,2092,E00075583,365908.967000000000000,174909.005000000000000,156,20,30,64,11,0,1,3,4,6,17,1542.200000000000000,11.600000000000000
,2093,E00075503,366385.031000000020000,171536.833000000010000,142,30,18,45,21,1,1,2,4,6,14,1670.099999999999900,13.699999999999999
,2094,E00075582,366081.520000000020000,174764.902000000000000,178,24,42,57,13,7,1,2,4,15,13,1763.800000000000000,11.800000000000001
,2095,E00075500,366479.651000000010000,171831.284000000010000,99,29,15,27,16,1,0,1,1,1,8,676.100000000000020,7.500000000000000
,2096,E00075581,365585.982000000020000,174815.179000000000000,181,25,36,65,24,3,0,1,1,10,16,1112.400000000000100,7.200000000000000
,2097,E00075501,366187.849999999980000,171686.391000000000000,105,14,17,36,17,1,0,1,3,8,8,1043.099999999999900,11.699999999999999
,2098,E00075580,365460.816999999980000,175134.250000000000000,165,24,40,51,13,1,0,3,8,12,13,2124.099999999999900,15.199999999999999
,2099,E00075508,366102.917000000020000,172591.298000000010000,200,35,25,73,34,3,4,1,5,5,15,2516.400000000000100,14.000000000000000
,2100,E00075589,357412.343999999980000,189080.660999999990000,128,6,6,28,34,3,2,2,6,30,11,1739.800000000000000,20.000000000000000
,2101,E00075509,366924.695000000010000,172543.965000000000000,282,33,43,87,52,11,0,1,9,18,28,3114.699999999999800,13.199999999999999
,2102,E00075588,366051.946999999990000,177066.315000000000000,196,27,40,65,14,4,4,4,4,20,14,1895.500000000000000,11.699999999999999
,2103,E00075746,365490.347000000010000,189189.073999999990000,60,7,1,6,16,3,4,0,3,16,4,1120.000000000000000,28.000000000000000
,2104,E00075747,364542.343999999980000,189579.353999999990000,174,47,11,22,42,7,3,3,7,16,16,2098.699999999999800,14.800000000000001
,2105,E00075744,364995.060999999990000,189857.787000000010000,144,41,7,16,35,8,5,3,5,17,7,2285.300000000000200,19.000000000000000
,2106,E00075745,364577.337000000000000,189790.111999999990000,142,37,4,17,45,4,7,5,3,11,9,1760.900000000000100,14.400000000000000
,2107,E00075742,363659.675999999980000,189832.946999999990000,58,12,1,6,19,0,5,0,3,9,3,999.200000000000050,21.699999999999999
,2108,E00075743,364439.729999999980000,189827.103000000000000,146,55,4,12,41,7,3,3,1,10,10,1479.400000000000100,11.699999999999999
,2109,E00075740,364457.435000000000000,190050.049999999990000,171,49,6,24,59,6,3,1,6,8,9,2305.099999999999900,15.000000000000000
