FID_,WZ11CD,POINT_X,POINT_Y,All_categ,km0_2,km2_5,km5_10,km10_20,km20_30,km30_40,km40_60,km60_over,home_work,Not_fixed,Total_km,Average_km
,E33047836,366809.836000000010000,172244.639000000000000,404,70,49,35,24,12,10,3,4,80,117,2164.300000000000200,10.500000000000000
,E33045600,361315.690999999990000,172576.244000000010000,409,75,156,97,34,17,5,7,9,6,3,3875.500000000000000,9.699999999999999
,E33045681,358719.004000000020000,181477.859999999990000,604,119,232,157,67,8,11,6,4,0,0,4077.199999999999800,6.800000000000000
,E33047837,367804.374000000010000,172443.162000000010000,647,123,123,99,56,11,6,18,14,86,111,4679.100000000000400,10.400000000000000
,E33045601,359703.734000000000000,172500.809000000010000,209,28,79,31,15,18,12,20,6,0,0,3392.699999999999800,16.199999999999999
,E33045680,358275.493000000020000,180632.989000000000000,406,37,121,106,70,21,12,3,11,15,10,5121.199999999999800,13.400000000000000
,E33047834,366139.809000000010000,172468.584000000000000,351,65,15,11,10,0,1,1,0,119,129,356.600000000000020,3.500000000000000
,E33047835,366287.708999999970000,172060.932999999990000,429,116,58,51,19,4,0,1,1,64,115,1202.400000000000100,4.800000000000000
,E33047832,367264.930999999980000,173176.742000000000000,338,53,57,50,53,13,7,8,12,56,29,3815.500000000000000,15.100000000000000
,E33047833,366532.618000000020000,173153.916000000000000,418,66,41,52,16,5,2,1,1,111,123,1192.700000000000000,6.500000000000000
,E33047727,361726.990999999980000,183261.923000000010000,392,48,26,86,70,21,24,17,28,42,30,7762.899999999999600,24.300000000000001
,E33047724,371963.618000000020000,181723.659000000010000,293,77,9,13,16,4,1,0,2,90,81,827.000000000000000,6.800000000000000
,E33047725,373067.729999999980000,182173.973000000000000,354,47,30,32,28,8,3,3,2,123,78,1523.000000000000000,10.000000000000000
,E33047722,371144.891999999990000,182653.285000000000000,443,210,43,23,36,1,3,3,0,66,58,1238.099999999999900,3.900000000000000
,E33047723,371121.359000000000000,183381.190999999990000,331,78,15,6,11,2,0,1,0,107,111,372.699999999999990,3.300000000000000
,E33047558,344173.635000000010000,175643.666000000000000,296,20,10,12,10,2,3,1,0,168,70,485.800000000000010,8.400000000000000
,E33047720,370496.460000000020000,183739.209000000000000,598,81,50,65,144,22,18,12,16,110,80,7336.800000000000200,18.000000000000000
,E33047559,345069.619000000010000,176394.225000000010000,268,51,15,30,36,7,0,1,7,83,38,2217.199999999999800,15.100000000000000
,E33047721,370693.114999999990000,182947.795000000010000,303,77,14,22,19,2,0,2,4,79,84,1494.099999999999900,10.699999999999999
